customer_id,email,order_id,timestamp,order_value,channel,category,item_name,color,quantity,sku_id,device_os,ip_address,postal_code_uk,on_sale,returned
1,cust1@example.com,O1-152528,2024-01-19 07:49:11,63.17,Mobile,Luxury Watches,Chronograph X,Black,3,SKU-78866,iOS,203.12.74.224,P8 7ZD,1,0
1,cust1@example.com,O1-126069,2024-02-21 21:33:14,80.32,Mobile,Basics,Pack Socks,White,1,SKU-33275,Windows,42.169.101.6,TB8 5EY,1,0
1,cust1@example.com,O1-798168,2024-03-16 05:26:44,48.75,Email,Clearance Shoes,Last-Season Loafer,Black,3,SKU-49764,ChromeOS,66.75.179.103,FB6 1OS,1,1
1,cust1@example.com,O1-867214,2024-04-09 04:32:50,44.31,Mobile,Sneakers,Hi Top,Black,2,SKU-72292,Android,63.217.86.59,Q2A 4PW,0,0
1,cust1@example.com,O1-483934,2024-06-25 19:05:46,33.76,Mobile,Clearance Shoes,Last-Season Loafer,Black,1,SKU-88752,Linux,212.205.220.240,M6 4OY,1,0
1,cust1@example.com,O1-551015,2024-07-05 09:51:37,32.92,Mobile,Clearance Shoes,End-of-Line Sneaker,Green,1,SKU-49298,Linux,92.190.249.191,QA6 9LM,1,1
1,cust1@example.com,O1-286717,2024-07-24 18:25:41,22.72,Desktop,Clearance Shoes,End-of-Line Sneaker,Burgundy,3,SKU-14432,Android,36.1.8.113,CO8 9WN,1,0
1,cust1@example.com,O1-449652,2024-08-04 17:50:27,27.6,Mobile,Clearance Shoes,End-of-Line Sneaker,Gray,3,SKU-70566,iOS,39.109.181.42,ZZ5 1OL,1,0
1,cust1@example.com,O1-713157,2024-08-10 19:58:27,76.71,Email,Basics,Pima Tee,Navy,2,SKU-45854,iOS,119.229.28.202,GG6L 8QM,1,0
1,cust1@example.com,O1-300244,2024-08-20 07:55:28,60.94,Mobile,Streetwear,Coach Jacket,Olive,1,SKU-42201,Windows,145.85.78.201,NM4Q 7BH,0,0
1,cust1@example.com,O1-667376,2024-09-21 03:51:23,60.98,Mobile,Clearance Shoes,Last-Season Loafer,Olive,3,SKU-49811,Android,184.145.74.17,TB6 2OY,1,0
1,cust1@example.com,O1-431868,2024-10-10 19:59:03,27.48,Mobile,Clearance Shoes,End-of-Line Sneaker,White,3,SKU-21314,Windows,21.5.210.92,JU6I 9NB,0,0
1,cust1@example.com,O1-619332,2024-12-07 16:23:35,52.43,Desktop,Streetwear,Graphic Tee,Beige,2,SKU-38295,Linux,65.86.244.145,G4S 5GJ,1,1
2,cust2@example.com,O2-487952,2024-01-04 06:55:11,181.04,Social,Denim,Relaxed Taper,Blue,2,SKU-63441,Windows,136.26.179.173,LZ6 3AT,0,0
2,cust2@example.com,O2-139986,2024-01-31 03:59:20,191.14,Mobile,Basics,Everyday Hoodie,Black,2,SKU-89111,Android,35.96.88.78,X4 5UN,0,0
2,cust2@example.com,O2-618271,2024-02-05 08:41:00,213.62,Social,Outerwear,Down Parka,Olive,1,SKU-48243,iOS,166.34.17.165,YL7V 4YF,0,0
2,cust2@example.com,O2-267292,2024-02-09 09:08:40,142.2,Social,Denim,Selvedge 13oz,Navy,2,SKU-60460,macOS,82.2.129.47,EJ2W 3EE,0,0
2,cust2@example.com,O2-382753,2024-04-04 08:01:22,211.39,Mobile,Denim,Straight Jean,Burgundy,2,SKU-49666,macOS,36.26.43.27,E8 7WO,0,0
2,cust2@example.com,O2-666202,2024-05-16 11:05:06,163.09,Desktop,Denim,Selvedge 13oz,Burgundy,2,SKU-77526,macOS,198.245.88.161,Q6R 4QG,0,1
2,cust2@example.com,O2-288014,2024-05-31 00:32:42,173.7,Mobile,Outerwear,Rain Shell,Blue,2,SKU-37306,macOS,236.100.240.68,E8 0ZI,0,0
2,cust2@example.com,O2-610585,2024-08-10 08:08:04,156.46,Desktop,Basics,Crew Tee,White,2,SKU-48709,Windows,193.51.181.36,SU8 3QG,0,0
2,cust2@example.com,O2-541501,2024-08-16 14:34:21,183.78,Desktop,Outerwear,Rain Shell,Blue,2,SKU-96143,iOS,114.115.209.14,IM9V 5KN,0,1
2,cust2@example.com,O2-951587,2024-08-30 03:39:19,164.62,Social,Outerwear,Field Jacket,Black,3,SKU-22342,Windows,32.10.202.211,NA7 1GH,0,0
2,cust2@example.com,O2-881452,2024-09-03 22:30:47,165.73,Mobile,Sneakers,Retro Jogger,Red,2,SKU-34442,Windows,62.32.158.29,QP8 0NS,0,0
2,cust2@example.com,O2-594592,2024-11-06 16:43:20,143.56,Social,Denim,Relaxed Taper,Beige,2,SKU-73374,Linux,175.201.53.137,J5 2TY,0,0
2,cust2@example.com,O2-577272,2024-11-13 09:49:13,193.16,Email,Denim,Slim Jean,White,2,SKU-83340,ChromeOS,97.23.63.143,AA7 4HH,0,0
2,cust2@example.com,O2-636507,2024-11-26 13:22:07,195.64,Social,Sneakers,Runner V2,White,3,SKU-18567,Windows,137.162.76.227,C6H 8EN,1,0
2,cust2@example.com,O2-671650,2024-12-15 03:01:50,170.29,Desktop,Designer Jackets,Velvet Blazer,Black,1,SKU-69383,Android,5.151.138.172,BB4E 8QI,0,0
2,cust2@example.com,O2-443054,2024-12-15 09:45:11,202.82,Mobile,Designer Jackets,Velvet Blazer,Black,2,SKU-35053,Windows,164.157.38.185,A7D 5BJ,0,0
3,cust3@example.com,O3-433863,2024-02-05 01:59:07,96.78,Mobile,Basics,Everyday Hoodie,Burgundy,3,SKU-96231,Windows,80.168.92.97,P9 3FG,0,0
3,cust3@example.com,O3-941344,2024-02-24 23:05:07,96.79,Mobile,Basics,Crew Tee,Green,3,SKU-84666,Android,25.39.35.131,R3B 2EL,1,0
3,cust3@example.com,O3-945038,2024-03-09 08:19:29,75.94,Social,Underwear,Seamless Tee,Green,1,SKU-60072,macOS,133.65.222.177,CX2E 8PA,0,1
3,cust3@example.com,O3-756701,2024-04-20 19:02:36,70.47,Desktop,Underwear,Boxer Briefs,Blue,2,SKU-81431,Linux,81.215.229.118,P9 9IM,0,0
3,cust3@example.com,O3-715645,2024-05-27 22:30:28,103.81,Mobile,Basics,Pack Socks,Olive,3,SKU-92197,macOS,148.96.228.242,DQ6 5AV,1,0
3,cust3@example.com,O3-576657,2024-05-31 04:05:39,62.08,Email,Clearance Shoes,Archive Boot,Burgundy,3,SKU-16737,ChromeOS,116.167.227.146,JN8M 1CE,1,0
3,cust3@example.com,O3-776787,2024-08-14 19:22:56,87.2,Mobile,Clearance Shoes,Last-Season Loafer,Red,3,SKU-54064,ChromeOS,111.79.160.179,KZ2D 0CM,0,0
3,cust3@example.com,O3-778250,2024-08-26 10:35:16,82.56,Desktop,Underwear,Boxer Briefs,Olive,1,SKU-28787,Android,206.77.221.12,GM1 7BX,0,0
3,cust3@example.com,O3-384186,2024-08-31 06:24:26,38.93,Mobile,Basics,Crew Tee,Navy,1,SKU-54413,macOS,184.92.221.21,OT6 4CA,0,0
3,cust3@example.com,O3-941052,2024-09-02 10:43:44,63.6,Mobile,Basics,Pack Socks,Beige,1,SKU-17564,Android,161.16.237.170,LW3 6MM,1,0
3,cust3@example.com,O3-617083,2024-09-06 01:33:32,30.6,Desktop,Clearance Shoes,Archive Boot,Green,2,SKU-98801,macOS,170.9.207.40,YB8F 7EP,0,0
3,cust3@example.com,O3-698069,2024-10-15 23:00:19,69.49,Social,Basics,Pima Tee,Red,1,SKU-56600,Windows,20.122.241.61,JR1C 5MX,0,0
3,cust3@example.com,O3-931460,2024-11-07 03:38:09,69.42,Email,Clearance Shoes,End-of-Line Sneaker,Burgundy,2,SKU-47573,ChromeOS,88.11.62.77,BT4T 5US,1,0
3,cust3@example.com,O3-607403,2024-12-02 20:23:40,84.66,Mobile,Basics,Pima Tee,White,2,SKU-28639,Windows,72.60.174.217,QH2 2LU,1,1
4,cust4@example.com,O4-688612,2024-01-09 15:52:47,204.28,Mobile,Streetwear,Cargo Pants,Beige,3,SKU-14648,ChromeOS,246.60.125.111,NY4 5QY,0,1
4,cust4@example.com,O4-335806,2024-06-14 17:40:43,147.64,Mobile,Streetwear,Graphic Tee,Burgundy,1,SKU-54738,ChromeOS,14.80.202.93,JI1 7KL,0,0
4,cust4@example.com,O4-122431,2024-07-24 02:10:56,140.88,Social,Sneakers,Low Court,White,2,SKU-59153,iOS,33.233.205.158,A6F 6ZN,0,0
4,cust4@example.com,O4-941047,2024-08-09 10:32:01,68.77,Mobile,Streetwear,Utility Vest,Blue,2,SKU-39759,Linux,209.72.21.18,RF9 5IH,0,0
4,cust4@example.com,O4-388161,2024-08-15 08:03:14,75.71,Email,Streetwear,Coach Jacket,Gray,1,SKU-39426,Windows,186.246.125.12,CH5 2ZH,0,0
4,cust4@example.com,O4-619052,2024-08-23 02:47:00,175.19,Mobile,Streetwear,Coach Jacket,Green,3,SKU-93186,Android,147.55.238.100,MW5 2LR,1,0
4,cust4@example.com,O4-859746,2024-09-29 17:57:59,74.32,Social,Sneakers,Hi Top,Burgundy,1,SKU-36015,iOS,114.204.8.72,RT7 3FZ,1,0
4,cust4@example.com,O4-441705,2024-12-05 12:27:09,165.77,Social,Sneakers,Low Court,Navy,2,SKU-55500,Linux,182.191.207.97,GU8 3LT,0,0
5,cust5@example.com,O5-529667,2024-02-13 02:32:29,35.9,Social,Clearance Shoes,Outlet Runner,Red,1,SKU-98920,Android,147.164.202.225,WO1 1AW,1,0
5,cust5@example.com,O5-588011,2024-04-16 07:13:21,71.12,Mobile,Outerwear,Fleece Zip,Burgundy,1,SKU-64061,macOS,33.1.147.31,P5 1RF,0,0
